,corr
KN_release_pos_z_std_lag1_5g_ratio,
PO_release_pos_z_std_lag1_5g_ratio,
SI_release_pos_z_std_lag1_5g_ratio,-0.0015119866116147084
SL_release_pos_z_std_lag1_5g_ratio,-0.05650859598347168
ST_release_pos_z_std_lag1_5g_ratio,-0.08546762691030622
SV_release_pos_z_std_lag1_5g_ratio,
CH_release_speed_count_lag1_5g_ratio,0.03146251623410828
CS_release_speed_count_lag1_5g_ratio,
CU_release_speed_count_lag1_5g_ratio,-0.002691066311468279
FA_release_speed_count_lag1_5g_ratio,
FC_release_speed_count_lag1_5g_ratio,-0.04799044536499615
FF_release_speed_count_lag1_5g_ratio,0.04765239878242649
FS_release_speed_count_lag1_5g_ratio,0.053392961351656165
KC_release_speed_count_lag1_5g_ratio,-0.0019898751296549473
KN_release_speed_count_lag1_5g_ratio,
PO_release_speed_count_lag1_5g_ratio,
SI_release_speed_count_lag1_5g_ratio,0.01572807028166092
SL_release_speed_count_lag1_5g_ratio,0.04834713147632778
ST_release_speed_count_lag1_5g_ratio,-0.049712012740541656
SV_release_speed_count_lag1_5g_ratio,
CH_release_speed_max_lag1_5g_ratio,0.04586577497320164
CS_release_speed_max_lag1_5g_ratio,
CU_release_speed_max_lag1_5g_ratio,-0.027664315167579275
FA_release_speed_max_lag1_5g_ratio,
FC_release_speed_max_lag1_5g_ratio,-0.03821346643986181
FF_release_speed_max_lag1_5g_ratio,0.03000980633682755
FS_release_speed_max_lag1_5g_ratio,0.009987994123734769
KC_release_speed_max_lag1_5g_ratio,-0.013826048844745042
KN_release_speed_max_lag1_5g_ratio,
PO_release_speed_max_lag1_5g_ratio,
SI_release_speed_max_lag1_5g_ratio,-0.0038638954023514256
SL_release_speed_max_lag1_5g_ratio,-0.006598624304465717
ST_release_speed_max_lag1_5g_ratio,0.002449515535038802
SV_release_speed_max_lag1_5g_ratio,
CH_release_speed_mean_lag1_5g_ratio,0.058351160750264704
CS_release_speed_mean_lag1_5g_ratio,
CU_release_speed_mean_lag1_5g_ratio,-0.03983778656928771
FA_release_speed_mean_lag1_5g_ratio,
FC_release_speed_mean_lag1_5g_ratio,-0.03636578930974564
FF_release_speed_mean_lag1_5g_ratio,0.014858843661690754
FS_release_speed_mean_lag1_5g_ratio,-0.033755573614949755
KC_release_speed_mean_lag1_5g_ratio,-0.014436338413271261
KN_release_speed_mean_lag1_5g_ratio,
PO_release_speed_mean_lag1_5g_ratio,
SI_release_speed_mean_lag1_5g_ratio,-0.003931572250999579
SL_release_speed_mean_lag1_5g_ratio,-0.014096212271907247
ST_release_speed_mean_lag1_5g_ratio,0.011663813579281345
SV_release_speed_mean_lag1_5g_ratio,
CH_release_speed_min_lag1_5g_ratio,0.02359120914646312
CS_release_speed_min_lag1_5g_ratio,
CU_release_speed_min_lag1_5g_ratio,-0.008705106608346993
FA_release_speed_min_lag1_5g_ratio,
FC_release_speed_min_lag1_5g_ratio,0.024786544196629103
FF_release_speed_min_lag1_5g_ratio,-0.006435656532542676
FS_release_speed_min_lag1_5g_ratio,-0.047712439312180804
KC_release_speed_min_lag1_5g_ratio,-0.002086585035542342
KN_release_speed_min_lag1_5g_ratio,
PO_release_speed_min_lag1_5g_ratio,
SI_release_speed_min_lag1_5g_ratio,0.008043273475670711
SL_release_speed_min_lag1_5g_ratio,-0.03424830483805392
ST_release_speed_min_lag1_5g_ratio,0.04313609418196472
SV_release_speed_min_lag1_5g_ratio,
CH_release_speed_std_lag1_5g_ratio,-0.028526102847389607
CS_release_speed_std_lag1_5g_ratio,
CU_release_speed_std_lag1_5g_ratio,-0.0018037647724994034
FA_release_speed_std_lag1_5g_ratio,
FC_release_speed_std_lag1_5g_ratio,-0.07013167574831031
FF_release_speed_std_lag1_5g_ratio,0.03198777222870422
FS_release_speed_std_lag1_5g_ratio,0.058254777351146744
KC_release_speed_std_lag1_5g_ratio,-0.007593051890183281
KN_release_speed_std_lag1_5g_ratio,
PO_release_speed_std_lag1_5g_ratio,
SI_release_speed_std_lag1_5g_ratio,-0.004513192351559829
SL_release_speed_std_lag1_5g_ratio,0.01844976440342644
ST_release_speed_std_lag1_5g_ratio,0.02699315277802645
SV_release_speed_std_lag1_5g_ratio,
CH_release_spin_rate_mean_lag1_5g_ratio,0.0861558216883228
CS_release_spin_rate_mean_lag1_5g_ratio,
CU_release_spin_rate_mean_lag1_5g_ratio,-0.06326004851402019
FA_release_spin_rate_mean_lag1_5g_ratio,
FC_release_spin_rate_mean_lag1_5g_ratio,0.08416279904280027
FF_release_spin_rate_mean_lag1_5g_ratio,-0.004034846050361542
FS_release_spin_rate_mean_lag1_5g_ratio,0.05548632662183782
KC_release_spin_rate_mean_lag1_5g_ratio,0.031845669408610965
KN_release_spin_rate_mean_lag1_5g_ratio,
PO_release_spin_rate_mean_lag1_5g_ratio,
SI_release_spin_rate_mean_lag1_5g_ratio,-0.043565906079135054
SL_release_spin_rate_mean_lag1_5g_ratio,-0.07247694116240587
ST_release_spin_rate_mean_lag1_5g_ratio,0.036896963382939005
SV_release_spin_rate_mean_lag1_5g_ratio,
CH_release_spin_rate_std_lag1_5g_ratio,-0.024011493430884198
CS_release_spin_rate_std_lag1_5g_ratio,
CU_release_spin_rate_std_lag1_5g_ratio,-0.02389050610244204
FA_release_spin_rate_std_lag1_5g_ratio,
FC_release_spin_rate_std_lag1_5g_ratio,-0.05150956523646351
FF_release_spin_rate_std_lag1_5g_ratio,0.04338586983123082
FS_release_spin_rate_std_lag1_5g_ratio,0.08604820788433329
KC_release_spin_rate_std_lag1_5g_ratio,0.0797328034258796
KN_release_spin_rate_std_lag1_5g_ratio,
PO_release_spin_rate_std_lag1_5g_ratio,
SI_release_spin_rate_std_lag1_5g_ratio,0.05237752066703932
SL_release_spin_rate_std_lag1_5g_ratio,0.053844177771081886
ST_release_spin_rate_std_lag1_5g_ratio,0.03680563676596685
SV_release_spin_rate_std_lag1_5g_ratio,
pitcher_chg1_5g_ratio,
CH_pfx_x_mean_chg1_5g_ratio,0.012287307503773867
CS_pfx_x_mean_chg1_5g_ratio,
CU_pfx_x_mean_chg1_5g_ratio,-0.002235932264445795
FC_pfx_x_mean_chg1_5g_ratio,0.0038561135990550347
FF_pfx_x_mean_chg1_5g_ratio,-0.002198326821957951
FS_pfx_x_mean_chg1_5g_ratio,0.004868212244855798
KC_pfx_x_mean_chg1_5g_ratio,0.006595430952739477
SI_pfx_x_mean_chg1_5g_ratio,-0.0029319123627950176
SL_pfx_x_mean_chg1_5g_ratio,0.002938813150755287
ST_pfx_x_mean_chg1_5g_ratio,0.0031711455719503935
SV_pfx_x_mean_chg1_5g_ratio,
CH_pfx_x_std_chg1_5g_ratio,0.003932993051707191
CS_pfx_x_std_chg1_5g_ratio,
CU_pfx_x_std_chg1_5g_ratio,-0.0005799892029817934
FC_pfx_x_std_chg1_5g_ratio,-0.0038561135991303564
FF_pfx_x_std_chg1_5g_ratio,-0.0032695041337786816
FS_pfx_x_std_chg1_5g_ratio,-0.004509632107366774
KC_pfx_x_std_chg1_5g_ratio,0.0038610038610066514
SI_pfx_x_std_chg1_5g_ratio,-0.0033278079784995513
SL_pfx_x_std_chg1_5g_ratio,-0.008051472320770662
ST_pfx_x_std_chg1_5g_ratio,-0.005034546825650325
SV_pfx_x_std_chg1_5g_ratio,
CH_pfx_z_mean_chg1_5g_ratio,0.005499982520643381
CS_pfx_z_mean_chg1_5g_ratio,
CU_pfx_z_mean_chg1_5g_ratio,-0.0010599028880307678
FC_pfx_z_mean_chg1_5g_ratio,-0.006802396883788968
FF_pfx_z_mean_chg1_5g_ratio,0.002198326821176751
FS_pfx_z_mean_chg1_5g_ratio,0.001371531618958491
KC_pfx_z_mean_chg1_5g_ratio,0.008163464620810641
SI_pfx_z_mean_chg1_5g_ratio,0.0029242772138821055
SL_pfx_z_mean_chg1_5g_ratio,-0.009817123173565126
